"HolderAddress","Balance","PendingBalanceUpdate"
"0x1397160f0a0a9195474dafa4fa15871968c8c3e3","1.45538153099036","No"
"0x13d65171f0857b255895f3fd72aa74adc1f78400","1010","No"
"0x13fb389675d6700b713431d4f52c7754ad3ebef3","3937.92257616","No"
"0x14699e3ac011c33dfcc262f626cb9a358cfd60b2","1.288492624","No"
"0x149f4cdb004b4867bb541203e4e4d90c4ddef4a0","1375.70993706","No"
"0x14a63f93952f6d86317dbdd4987704b26ecbfba1","11162.20154846","No"
"0x14c1f1129cbb3de466a234530d27877bc1b05452","36.64643944","No"
"0x154ebd645226c2718993fd6995d6f00bbd50eba0","9441.89571212227","No"
"0x15a7a77d7ad588dc69170b6dd983d91701e1600f","2525.87269382","No"
"0x15b5091ea056cf7786267db3864fb4be08f0ca75","4.56356537950001","No"
"0x15fa3ed03b63c6a63e67ad5cc6e2af525eb9ade4","82.4799051199997","No"
"0x161a75b20c2aec4279ca91a5a8f58cfbb353f0ad","71.8885161610998","No"
"0x166e7ac3e0f5e0a187c9b4ecbc7680b3b4430237","264.548992373585","No"
"0x17ab15791d7ec515e540389651553899d75599c1","8.68531482","No"
"0x17ff3e86b4d71736f427622f8f1b2b6009f1724b","10617.9787","No"
"0x181c4681a8d478647c77573b9611ebac93723735","81.9113295807046","No"
"0x184d3eb8019f531424df21fa6e24e63b48532058","1178.81692937","No"
"0x18591d17e122aa229e369101bd7656f35b185ea3","5000","No"
"0x189a291eef449ee750c421d18fd195ced8d237ca","1298.65376495","No"
"0x193023cf5000e8dccb5d12e0840b235d1d905e49","40.53434866","No"
"0x1958e7cee423098ec6f04484b0663f233a3b67a9","14.7183424151995","No"
"0x19dff847b0a463c780f222039cda42753be835ed","1821.83779295","No"
"0x1a4efa7d7d690a1811375bf1dc8a70cbe2adc59b","3560.03630669","No"
"0x1a512622b90d6b030470b5e29948da3f031b1675","426.079739692136","No"
"0x1ad0d2f68428cbf5ad3ffc00fd9cd6196217895f","2.12584875000018","No"
"0x1ae226c738c2ed31cfe0c74954a40cf9452f633b","1015.3635592","No"
"0x1b0fa16d926d8e09c5d871501839df8dfa7ef3ea","29.5710925318773","No"
"0x1b412e5aaf435b41f1143c1b39b71af1cd634da5","17.4487546000001","No"
"0x1b49308e1eddb0a07aeb4ccad06c72205d9ca244","1254.06","No"
"0x1c7a210812519708492ab7cca63a4f2a13443666","19102.05","No"
"0x1d09fd03bfd1e63a6783cf18403520321d2d659e","1063.56474619","No"
"0x1d2f9bd19a4f65e73657fa2f36312dcd58a2d2cc","5788.21979794","No"
"0x1d683901ae51a98ed7ac0a9d5091d4217dee7d43","1162.20018985","No"
"0x1d935113f9be35e80fae6abf9bb912b0122bc225","0.116567430312411","No"
"0x1d992b5c8af2cdd3572d42684fd8c4e2df204a3a","0.0189885938971797","No"
"0x1daf118dd846e7205976196865ae516a344e2aa6","5855.76908529","No"
"0x1dc951a0e4c7b6c7a1c58f046f7f1fe993189cb7","7425.25","No"
"0x1e007e31388243f1bd86a23cdf0c6681eff5fe88","3659.75523243","No"
"0x1e3e7f82aca9814f201b4bd63fea663023b45061","218.714808746327","No"
"0x1e53db303f24e4a53640f4d6bbe4225a59fb7d5e","55056.1492280679","No"
"0x1e7933a6efec99b17de3ae5c0b90a14d47ae9549","4147.69401058","No"
"0x1eb35a526987d42f7125a22ceeb0e1666c295cb6","154.83","No"
"0x1f3136d8d6aab1e5da19e279b2eaad56211e1b7a","2821.12174520638","No"
"0x1f5fcca8d3f6a963516377690c7da42302283e64","2","No"
"0x1fbf1bfa4261c6c5bda70dd02f2ed141727faf02","94.9861428971","No"
